country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","14-02-2026 12:00:00",25.592539,85.227158,SO2,4,6,5
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","14-02-2026 12:00:00",25.592539,85.227158,CO,34,100,77
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","14-02-2026 12:00:00",25.610369,85.132568,NO2,1,1,1
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","14-02-2026 12:00:00",25.610369,85.132568,SO2,1,1,1
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","14-02-2026 12:00:00",25.610369,85.132568,CO,6,6,6
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","14-02-2026 12:00:00",25.610369,85.132568,OZONE,28,29,29
India,Bihar,Patna,"Muradpur, Patna - BSPCB","14-02-2026 12:00:00",25.619651,85.147382,PM2.5,54,133,85
India,Bihar,Patna,"Muradpur, Patna - BSPCB","14-02-2026 12:00:00",25.619651,85.147382,CO,16,70,36
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","14-02-2026 12:00:00",25.599486,85.113666,PM10,82,142,113
India,Bihar,Patna,"Samanpura, Patna - BSPCB","14-02-2026 12:00:00",25.596727,85.085624,SO2,4,5,4
India,Bihar,Patna,"Samanpura, Patna - BSPCB","14-02-2026 12:00:00",25.596727,85.085624,OZONE,8,88,25
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","14-02-2026 12:00:00",25.366336,87.117468,PM2.5,63,92,78
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","14-02-2026 12:00:00",25.366336,87.117468,NO2,5,6,6
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","14-02-2026 12:00:00",25.366336,87.117468,SO2,12,25,17
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","14-02-2026 12:00:00",25.366336,87.117468,CO,42,88,60
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","14-02-2026 12:00:00",26.187500,91.744194,OZONE,12,20,13
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","14-02-2026 12:00:00",26.181742,91.78063,NO2,3,4,3
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","14-02-2026 12:00:00",26.181742,91.78063,SO2,23,26,25
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","14-02-2026 12:00:00",26.349082,92.68449,SO2,1,13,10
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","14-02-2026 12:00:00",26.446912,91.439057,NH3,6,6,6
India,Assam,Silchar,"Tarapur, Silchar - PCBA","14-02-2026 12:00:00",24.82827,92.79525,SO2,4,6,5
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","14-02-2026 12:00:00",26.987634,94.636574,CO,28,111,47
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","14-02-2026 12:00:00",26.146529,87.454184,PM10,23,103,65
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","14-02-2026 12:00:00",26.146529,87.454184,NH3,4,5,4
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","14-02-2026 12:00:00",25.03280,85.41948,CO,83,96,88
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","14-02-2026 12:00:00",25.892357,86.590325,PM10,56,146,92
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","14-02-2026 12:00:00",25.892357,86.590325,NO2,5,9,7
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","14-02-2026 12:00:00",25.892357,86.590325,SO2,15,19,17
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","14-02-2026 12:00:00",25.892357,86.590325,CO,34,44,42
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","14-02-2026 12:00:00",24.952822,84.002396,NO2,2,9,3
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","14-02-2026 12:00:00",24.952822,84.002396,OZONE,13,44,17
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","14-02-2026 12:00:00",26.2271665,84.3570427,PM10,52,126,76
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","14-02-2026 12:00:00",26.2271665,84.3570427,CO,50,90,78
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","14-02-2026 12:00:00",26.2271665,84.3570427,OZONE,11,12,12
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","14-02-2026 12:00:00",16.9872867,81.7363176,CO,24,60,36
